order_id,zone,merchant_name,assigned,assigned_driver_id,assigned_driver_name,offer_amount,effective_pay_per_mile,total_economic_miles,total_minutes,status,reason,zone_pressure_multiplier
ORD-000047,short_north,Taco Bell,True,DRV-0131,Driver 131,27.77,5.53,5.02,25.97,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000048,osu,Ritzy's,True,DRV-0007,Driver 7,27.65,5.91,4.68,20.82,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000049,clintonville,Taco Bell,True,DRV-0064,Driver 64,24.68,4.83,5.11,24.27,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000050,beechwold,Awadh India Restaurant,True,DRV-0139,Driver 139,33.9,5.32,6.37,33.14,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000051,beechwold,Pizza Hut,True,DRV-0139,Driver 139,34.58,4.68,7.39,35.36,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000052,short_north,Ritzy's,True,DRV-0131,Driver 131,46.83,5.04,9.3,21.56,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000053,worthington,Awadh India Restaurant,True,DRV-0108,Driver 108,44.98,4.89,9.2,23.47,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000054,clintonville,Wendy's,True,DRV-0064,Driver 64,45.2,4.56,9.91,20.11,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000055,short_north,Starbucks,True,DRV-0131,Driver 131,29.91,5.05,5.92,20.57,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000056,dublin_edge,Taco Bell,True,DRV-0108,Driver 108,33.35,4.86,6.86,14.9,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000057,dublin_edge,Ritzy's,True,DRV-0108,Driver 108,30.45,8.39,3.63,32.74,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000058,clintonville,Awadh India Restaurant,True,DRV-0064,Driver 64,31.84,4.25,7.5,35.53,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000059,beechwold,Taco Bell,True,DRV-0139,Driver 139,41.14,6.57,6.26,31.96,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000060,dublin_edge,McDonald's,True,DRV-0108,Driver 108,26.83,4.25,6.32,26.73,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000061,osu,Wendy's,True,DRV-0007,Driver 7,35.7,5.89,6.06,20.83,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000062,short_north,Kroger,True,DRV-0131,Driver 131,38.0,5.39,7.05,36.35,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000063,northland,Kroger,True,DRV-0017,Driver 17,35.9,5.67,6.33,25.96,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000064,northland,Awadh India Restaurant,True,DRV-0017,Driver 17,27.45,4.9,5.6,26.65,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000065,worthington,Pizza Hut,True,DRV-0108,Driver 108,30.63,7.96,3.85,33.46,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000066,ua_edge,Chipotle,True,DRV-0034,Driver 34,22.58,6.76,3.34,19.44,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000067,osu,Awadh India Restaurant,True,DRV-0007,Driver 7,42.72,5.67,7.54,26.04,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000068,osu,Awadh India Restaurant,True,DRV-0007,Driver 7,45.5,5.22,8.71,25.76,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000069,northland,Wendy's,True,DRV-0017,Driver 17,25.85,4.03,6.41,20.55,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000070,ua_edge,McDonald's,True,DRV-0034,Driver 34,37.78,4.64,8.14,28.9,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000071,worthington,McDonald's,True,DRV-0108,Driver 108,37.79,6.34,5.96,29.4,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000072,short_north,Wendy's,True,DRV-0131,Driver 131,46.61,5.05,9.23,39.36,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000073,beechwold,Iron Grill BBQ & Breakfast,True,DRV-0139,Driver 139,38.13,5.21,7.32,28.56,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000074,clintonville,Kroger,True,DRV-0064,Driver 64,40.12,4.38,9.15,26.88,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000075,clintonville,Awadh India Restaurant,True,DRV-0064,Driver 64,27.04,4.44,6.09,34.0,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000076,short_north,Iron Grill BBQ & Breakfast,True,DRV-0131,Driver 131,48.0,5.41,8.88,25.77,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000077,worthington,Kroger,True,DRV-0108,Driver 108,36.21,4.6,7.88,25.26,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000078,short_north,Kroger,True,DRV-0131,Driver 131,36.58,5.39,6.79,28.59,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000079,dublin_edge,Starbucks,True,DRV-0108,Driver 108,25.33,7.04,3.6,42.77,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000080,clintonville,Wendy's,True,DRV-0064,Driver 64,32.43,5.37,6.04,36.24,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000081,short_north,McDonald's,True,DRV-0131,Driver 131,28.11,6.54,4.3,37.29,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000082,northland,Chipotle,True,DRV-0017,Driver 17,38.28,4.15,9.23,26.08,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000083,short_north,Starbucks,True,DRV-0131,Driver 131,31.69,5.22,6.07,29.22,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000084,osu,Pizza Hut,True,DRV-0007,Driver 7,37.98,5.77,6.58,23.92,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000085,osu,Chipotle,True,DRV-0007,Driver 7,41.96,5.68,7.39,29.4,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000086,dublin_edge,Awadh India Restaurant,True,DRV-0108,Driver 108,45.23,5.35,8.46,24.75,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000087,ua_edge,Pizza Hut,True,DRV-0034,Driver 34,30.92,5.66,5.46,32.71,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000088,osu,Wendy's,True,DRV-0007,Driver 7,40.97,4.67,8.78,35.58,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000089,short_north,Chipotle,True,DRV-0131,Driver 131,33.25,5.98,5.56,31.35,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000090,northland,Chipotle,True,DRV-0017,Driver 17,34.7,3.79,9.16,33.38,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000091,osu,Wendy's,True,DRV-0007,Driver 7,44.64,4.7,9.49,29.03,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000092,clintonville,Wendy's,True,DRV-0064,Driver 64,33.19,4.44,7.48,25.85,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000093,worthington,Wendy's,True,DRV-0108,Driver 108,34.78,6.21,5.6,30.19,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000094,short_north,McDonald's,True,DRV-0131,Driver 131,27.57,5.59,4.93,33.43,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000095,northland,McDonald's,True,DRV-0017,Driver 17,20.67,5.82,3.55,31.66,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000096,worthington,Ritzy's,True,DRV-0108,Driver 108,36.54,5.67,6.45,29.19,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000097,short_north,Pizza Hut,True,DRV-0131,Driver 131,26.41,6.23,4.24,26.84,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000098,beechwold,Wendy's,True,DRV-0139,Driver 139,32.3,3.86,8.37,24.15,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000099,short_north,Chipotle,True,DRV-0131,Driver 131,37.68,4.72,7.99,33.52,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000100,clintonville,Awadh India Restaurant,True,DRV-0064,Driver 64,31.14,4.94,6.3,19.03,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000101,northland,Kroger,True,DRV-0017,Driver 17,24.1,6.87,3.51,35.07,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000102,osu,Iron Grill BBQ & Breakfast,True,DRV-0007,Driver 7,35.46,5.5,6.45,35.01,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000103,clintonville,Awadh India Restaurant,True,DRV-0064,Driver 64,24.67,9.87,2.5,37.0,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000104,beechwold,Ritzy's,True,DRV-0139,Driver 139,37.96,4.62,8.22,26.33,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000105,worthington,Starbucks,True,DRV-0108,Driver 108,23.7,6.71,3.53,27.06,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000106,northland,Awadh India Restaurant,True,DRV-0017,Driver 17,28.74,6.36,4.52,35.16,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000107,beechwold,Ritzy's,True,DRV-0139,Driver 139,35.5,5.44,6.53,32.98,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000108,worthington,Ritzy's,True,DRV-0108,Driver 108,40.75,5.3,7.69,30.76,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000109,osu,McDonald's,True,DRV-0007,Driver 7,36.71,6.31,5.82,31.5,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000110,short_north,Pizza Hut,True,DRV-0131,Driver 131,32.89,7.91,4.16,30.29,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000111,worthington,Wendy's,True,DRV-0108,Driver 108,33.7,6.85,4.92,28.25,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000112,short_north,Awadh India Restaurant,True,DRV-0131,Driver 131,37.51,5.76,6.51,17.62,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000113,clintonville,Ritzy's,True,DRV-0064,Driver 64,24.7,6.48,3.81,32.78,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000114,worthington,Iron Grill BBQ & Breakfast,True,DRV-0108,Driver 108,42.14,6.5,6.48,27.03,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000115,clintonville,Iron Grill BBQ & Breakfast,True,DRV-0064,Driver 64,45.37,4.61,9.84,23.16,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000116,worthington,Kroger,True,DRV-0108,Driver 108,36.41,5.54,6.57,25.47,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000117,clintonville,Awadh India Restaurant,True,DRV-0064,Driver 64,30.08,5.46,5.51,39.81,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000118,beechwold,Chipotle,True,DRV-0139,Driver 139,50.07,4.7,10.66,15.1,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000119,short_north,Taco Bell,True,DRV-0131,Driver 131,31.78,4.71,6.75,18.24,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000120,dublin_edge,Kroger,True,DRV-0108,Driver 108,45.71,4.88,9.36,29.95,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000121,ua_edge,Kroger,True,DRV-0034,Driver 34,42.2,4.44,9.5,29.66,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000122,clintonville,Chipotle,True,DRV-0064,Driver 64,20.31,4.49,4.52,20.24,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000123,clintonville,Awadh India Restaurant,True,DRV-0064,Driver 64,23.75,5.94,4.0,26.19,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000124,osu,Iron Grill BBQ & Breakfast,True,DRV-0007,Driver 7,35.67,4.8,7.43,26.41,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000125,ua_edge,Wendy's,True,DRV-0034,Driver 34,34.3,3.96,8.67,29.7,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000126,clintonville,Kroger,True,DRV-0064,Driver 64,35.52,4.34,8.18,35.15,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000127,northland,Taco Bell,True,DRV-0017,Driver 17,23.77,5.18,4.59,29.04,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000128,beechwold,Ritzy's,True,DRV-0139,Driver 139,32.4,4.63,7.0,25.23,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000129,dublin_edge,McDonald's,True,DRV-0108,Driver 108,28.21,4.81,5.87,23.01,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000130,worthington,Kroger,True,DRV-0108,Driver 108,37.03,6.35,5.83,27.71,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000131,clintonville,Chipotle,True,DRV-0064,Driver 64,34.24,4.86,7.04,25.42,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000132,short_north,Taco Bell,True,DRV-0131,Driver 131,32.56,5.21,6.25,26.42,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000133,northland,Wendy's,True,DRV-0017,Driver 17,31.46,3.87,8.12,31.91,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000134,ua_edge,Pizza Hut,True,DRV-0034,Driver 34,41.85,5.37,7.8,32.98,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000135,short_north,Taco Bell,True,DRV-0131,Driver 131,39.58,4.75,8.33,31.1,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000136,dublin_edge,Ritzy's,True,DRV-0108,Driver 108,37.64,5.17,7.28,29.05,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000137,short_north,Pizza Hut,True,DRV-0131,Driver 131,32.17,5.98,5.38,28.87,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000138,ua_edge,Kroger,True,DRV-0034,Driver 34,30.94,6.35,4.87,26.05,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000139,clintonville,Kroger,True,DRV-0064,Driver 64,32.79,4.98,6.58,27.89,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000140,short_north,Starbucks,True,DRV-0131,Driver 131,33.5,5.86,5.72,26.53,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000141,northland,Taco Bell,True,DRV-0017,Driver 17,32.24,4.99,6.46,24.64,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000142,clintonville,Starbucks,True,DRV-0064,Driver 64,33.2,4.56,7.28,27.06,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000143,northland,Kroger,True,DRV-0017,Driver 17,21.07,5.38,3.92,37.86,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000144,osu,Ritzy's,True,DRV-0007,Driver 7,27.72,6.74,4.11,20.2,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000145,clintonville,Pizza Hut,True,DRV-0064,Driver 64,30.67,4.05,7.57,33.07,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000146,worthington,Chipotle,True,DRV-0108,Driver 108,31.64,5.76,5.49,23.62,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000147,beechwold,Pizza Hut,True,DRV-0139,Driver 139,25.04,6.45,3.88,23.29,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000148,beechwold,Iron Grill BBQ & Breakfast,True,DRV-0139,Driver 139,39.26,5.27,7.45,34.75,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000149,northland,Wendy's,True,DRV-0017,Driver 17,31.93,5.23,6.1,27.67,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000150,short_north,Iron Grill BBQ & Breakfast,True,DRV-0131,Driver 131,30.1,4.7,6.41,27.72,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000151,short_north,Pizza Hut,True,DRV-0131,Driver 131,46.01,4.54,10.13,16.76,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000152,beechwold,Starbucks,True,DRV-0139,Driver 139,20.96,4.63,4.53,28.11,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000153,dublin_edge,Ritzy's,True,DRV-0108,Driver 108,42.73,5.12,8.35,29.32,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000154,worthington,Iron Grill BBQ & Breakfast,True,DRV-0108,Driver 108,33.17,7.64,4.34,34.76,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000155,beechwold,McDonald's,True,DRV-0139,Driver 139,41.52,4.57,9.08,23.4,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000156,northland,Chipotle,True,DRV-0017,Driver 17,34.63,3.61,9.6,19.64,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000157,short_north,Kroger,True,DRV-0131,Driver 131,33.22,4.6,7.22,30.64,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000158,osu,Pizza Hut,True,DRV-0007,Driver 7,31.51,4.82,6.54,22.84,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000159,northland,McDonald's,True,DRV-0017,Driver 17,27.79,4.93,5.64,36.76,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000160,northland,Kroger,True,DRV-0017,Driver 17,23.63,6.34,3.73,36.77,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000161,osu,Chipotle,True,DRV-0007,Driver 7,34.55,5.31,6.51,30.45,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000162,short_north,Wendy's,True,DRV-0131,Driver 131,44.19,4.36,10.14,21.21,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000163,short_north,Pizza Hut,True,DRV-0131,Driver 131,38.01,6.12,6.21,41.6,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000164,dublin_edge,Chipotle,True,DRV-0108,Driver 108,29.43,5.28,5.57,27.98,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000165,beechwold,Ritzy's,True,DRV-0139,Driver 139,42.76,5.41,7.9,29.65,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000166,short_north,Iron Grill BBQ & Breakfast,True,DRV-0131,Driver 131,33.65,5.49,6.13,29.7,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000167,short_north,Iron Grill BBQ & Breakfast,True,DRV-0131,Driver 131,33.81,6.06,5.58,25.59,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000168,osu,Pizza Hut,True,DRV-0007,Driver 7,40.11,6.94,5.78,40.81,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000169,short_north,Chipotle,True,DRV-0131,Driver 131,41.5,6.07,6.84,21.83,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000170,northland,McDonald's,True,DRV-0017,Driver 17,30.31,4.41,6.88,38.8,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000171,northland,Ritzy's,True,DRV-0017,Driver 17,36.73,4.42,8.31,22.12,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000172,dublin_edge,Wendy's,True,DRV-0108,Driver 108,39.42,5.19,7.6,33.92,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000173,clintonville,Ritzy's,True,DRV-0064,Driver 64,29.76,5.25,5.67,35.43,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000174,short_north,Pizza Hut,True,DRV-0131,Driver 131,34.12,4.96,6.88,25.34,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
ORD-000175,clintonville,Taco Bell,True,DRV-0064,Driver 64,37.53,5.11,7.34,27.1,assigned,best_driver_selected_by_fairness_first_dispatch,1.8
